SampleSiteID,SampleSiteCode,Site_Veg,Needles,Genus,LMA_gm2,LWA_gm2,LWC_%,d15N,d13C,N_weight_percent,C_weight_percent,CN,1C,8P,8U,Al,As,Co,Cr,Cu,Mo,Na,Ni,Se,Si,Sr,Zn
1,001-ER18,Meadow,False,,67.75443744944444,120.8479761662833,64.2388888888889,1.29,-25.97,3.35,45.94,15.992401750230421,65.06297229219143,89.84886649874053,6.196473551637279,97532.49370277078,15.4911838790932,55.76826196473553,682.6448362720404,6634.357682619649,1194.8866498740556,10389.420654911839,944.9622166246852,286.07052896725435,26557.052896725443,30001.259445843833,28484.15617128463
2,002-ER18,Meadow,False,,54.60632074285714,164.32334961024887,75.28571428571429,1.48,-26.57,4.53,45.98,11.836908006475682,110.50377833753149,55.76826196473553,,41010.327455919396,8.261964735516374,320.15113350125944,391.41057934508814,6142.770780856425,3415.28967254408,8902.26700251889,8631.68765743073,1157.7078085642318,26433.12342569269,36166.75062972292,40660.22670025189
3,003-ER18,Meadow,False,,73.72881463125,244.21526922715938,76.2625,2.85,-26.38,3.28,45.77,16.27326048399527,240.02512562814076,47.386934673366845,,43008.79396984925,,135.97989949748742,334.7989949748744,6435.35175879397,1320.6532663316584,1472.0854271356784,892.1105527638193,451.2060301507538,22689.070351758797,29132.663316582915,25301.532663316582
4,004-ER18,Meadow,False,,72.35532625470589,262.61874689967846,78.45882352941176,2.24,-25.8,4.02,46.8,13.576483854135535,201.8939393939394,46.59090909090909,,31930.303030303032,,129.41919191919192,297.1464646464646,6986.565656565656,1537.5,5268.914141414141,5815.5808080808065,475.2272727272728,23890.782828282827,18978.0303030303,24249.015151515152
5,005-ER18,Meadow,False,,42.48148120225807,145.05827273632832,77.4774193548387,4.0,-25.67,4.35,47.03,12.60820406401993,131.85929648241208,64.8994974874372,,71018.59296482411,6.1809045226130666,44.2964824120603,396.6080402010051,8351.432160804019,2969.924623115578,18017.336683417085,6067.587939698493,207.0603015075377,25676.50753768844,30142.21105527638,37076.155778894485
6,006-ER18,Meadow,False,,52.24446673555556,137.23080506806843,72.45,0.23,-25.61,5.17,46.75,10.54529126422557,35.69651741293532,59.154228855721385,,47517.16417910448,,65.273631840796,399.80099502487565,11810.447761194031,797.5621890547262,11127.114427860695,3314.6766169154225,271.29353233830847,25033.457711442785,22417.412935323384,52056.74129353234
7,007-ER18,Meadow,False,,133.86375834909092,276.5656503121367,68.53636363636363,1.11,-26.14,4.0,46.59,13.583141552948621,86.75062972292194,60.93198992443325,,50501.259445843825,,65.06297229219143,638.2367758186398,11845.591939546599,1335.3400503778334,12000.50377833753,1425.188916876574,264.382871536524,27982.241813602017,16028.21158690176,35548.136020151134
8,008-ER18,Meadow,False,,44.748713298235295,130.0247986833708,75.37647058823529,1.57,-26.07,4.53,46.67,12.014538857377559,91.225,45.1,,34327.25,,56.37499999999999,351.575,17025.25,737.9999999999999,8870.35,1641.025,417.175,24656.375,18142.5,34615.275
9,009-ER18,Meadow,False,,50.58464807,191.36675895529044,79.175,2.42,-24.07,3.8,46.33,14.218252124311963,379.97474747474746,98.35858585858584,,53921.2121212121,,53.83838383838385,406.8939393939394,15416.414141414141,1494.0151515151513,13180.050505050507,2283.989898989899,299.21717171717177,24708.71212121212,19464.646464646466,57473.510101010106
10,010-ER18,Meadow,False,,89.38734887884617,226.55495060310545,71.68076923076923,2.82,-26.4,2.94,43.21,17.139748435196303,94.45569620253164,61.240506329113934,,51338.22784810127,9.341772151898734,39.443037974683534,575.0379746835442,9195.417721518988,806.5063291139239,3991.012658227848,1481.1898734177216,456.7088607594937,27656.83544303797,31595.949367088604,30341.037974683546
