0,1,2,3
007-ER18,16028.21158690176,23538.44490081021,Validation
011-ER18,30025.87064676616,34754.05255045563,Validation
027-ER18,38934.7394540943,46472.8560180436,Validation
033-ER18,15321.588089330024,32375.134939211603,Validation
040-ER18,31854.636591478706,56805.178233652,Validation
044-ER18,12985.037406483789,20216.546846219295,Validation
078-ER18,80939.30348258706,44253.94028329199,Validation
097-ER18,52471.921182266015,23085.172032142837,Validation
111-ER18,14731.903553299493,62320.89071817447,Validation
121-ER18,80739.32668329176,60723.515030225564,Validation
125-ER18,45025.175,77583.9383939237,Validation
139-ER18,18846.83950617284,33867.965563312246,Validation
153-ER18,24394.493827160488,64748.43336078503,Validation
161-ER18,46247.794486215535,61100.37110613422,Validation
169-ER18,106461.9493670886,56423.23832478463,Validation
184-ER18,56286.41975308642,45839.45617484851,Validation
213-ER18,79910.45685279189,57158.13161956704,Validation
239-ER18,53118.908188585614,55008.34332537967,Validation
258-ER18,34452.148148148146,32681.588309424154,Validation
278-ER18,11832.885572139305,41086.492787510695,Validation
286-ER18,29028.822055137847,56610.94757320818,Validation
295-ER18,37835.980148883384,25536.711207342334,Validation
313-ER18,49445.38653366583,54530.06250225248,Validation
317-ER18,42921.55388471178,25436.614046542454,Validation
329-ER18,83987.87878787878,80690.64208141057,Validation
345-ER18,128590.90909090909,62662.58482860106,Validation
348-ER18,122999.99999999994,59147.592933041815,Validation
368-ER18,41516.29629629629,42286.99111588947,Validation
389-ER18,26351.35802469136,46454.665459883974,Validation
396-ER18,19538.271604938276,38640.40346292287,Validation
401-ER18,42937.81094527363,57451.30312770403,Validation
402-ER18,80471.35802469135,79185.76194831372,Validation
420-ER18,15650.864197530864,54223.28259453953,Validation
431-ER18,38544.11027568922,63076.658118114035,Validation
432-ER18,36426.13065326634,53015.80866489788,Validation
442-ER18,47661.23456790123,58411.37289732283,Validation
447-ER18,29600.98765432099,36492.246385575134,Validation
449-ER18,22683.25,36860.09842699727,Validation
466-ER18,82293.58024691358,67971.15715476782,Validation
001-ER18,30001.259445843836,43158.09532603687,Calibration
002-ER18,36166.75062972292,36537.58892147821,Calibration
003-ER18,29132.663316582915,43777.623378735225,Calibration
004-ER18,18978.0303030303,24199.128566009065,Calibration
005-ER18,30142.21105527638,35299.90718210903,Calibration
006-ER18,22417.412935323384,30049.18666807383,Calibration
008-ER18,18142.5,31131.83781229642,Calibration
009-ER18,19464.646464646466,26768.770510094546,Calibration
010-ER18,31595.949367088604,35030.99849451224,Calibration
012-ER18,12300.0,30971.601178295867,Calibration
013-ER18,50708.39506172839,31458.878832186063,Calibration
015-ER18,15924.1975308642,35905.6466277225,Calibration
016-ER18,50214.851485148516,44560.22480506888,Calibration
017-ER18,33143.34975369458,40678.853051005935,Calibration
018-ER18,9803.555555555555,34308.048307709294,Calibration
019-ER18,30107.160493827163,40762.19312209643,Calibration
020-ER18,12939.356435643565,14621.830847932366,Calibration
021-ER18,41298.743718592974,52476.82091719496,Calibration
022-ER18,39450.881612090685,61037.535666474854,Calibration
024-ER18,36900.0,53037.745901728005,Calibration
025-ER18,14609.429280397024,31664.292422544226,Calibration
028-ER18,23206.20347394541,33319.77124748782,Calibration
029-ER18,23013.56783919598,44742.138019618185,Calibration
030-ER18,11219.458128078815,37379.58676660237,Calibration
031-ER18,42827.83251231528,52974.72592278507,Calibration
032-ER18,56182.17821782177,45228.028248908005,Calibration
034-ER18,9346.766917293233,23889.346398151592,Calibration
035-ER18,40275.87064676616,54275.44791956552,Calibration
036-ER18,38188.86138613862,34715.49120854539,Calibration
037-ER18,20932.663316582915,23014.0697792647,Calibration
038-ER18,16033.746898263025,39038.735571198435,Calibration
039-ER18,27560.545905707204,38489.209368599,Calibration
041-ER18,28750.61728395061,46941.57085886968,Calibration
042-ER18,20988.33746898263,23379.954889229906,Calibration
043-ER18,18021.64179104478,9036.160617143885,Calibration
045-ER18,18683.41584158416,37754.18651602419,Calibration
046-ER18,9258.064516129032,15022.709817615294,Calibration
047-ER18,19288.177339901482,41529.692031456,Calibration
048-ER18,29517.980295566504,42009.32359183971,Calibration
050-ER18,11068.982630272954,40090.55910950429,Calibration
051-ER18,28842.0792079208,35929.77262740415,Calibration
052-ER18,18115.09900990099,24225.596240996223,Calibration
053-ER18,35952.26130653266,38767.16042924319,Calibration
054-ER18,28793.417721518985,34245.436557764144,Calibration
055-ER18,21208.64197530864,55382.90151247535,Calibration
056-ER18,17485.891089108914,53961.0714831582,Calibration
057-ER18,15809.925558312656,52732.18428045117,Calibration
058-ER18,34435.9102244389,45206.40167413799,Calibration
059-ER18,20307.178217821784,51273.68885357313,Calibration
060-ER18,21368.472906403942,35153.79994551079,Calibration
061-ER18,17692.059553349878,34340.37090255205,Calibration
062-ER18,22334.75,40550.778081775854,Calibration
063-ER18,30028.894472361808,28778.620391711287,Calibration
064-ER18,21805.925925925923,33026.20275659494,Calibration
065-ER18,27902.49376558603,36784.66799698929,Calibration
067-ER18,72627.11442786071,37668.448624876866,Calibration
069-ER18,39123.38308457712,36293.141610433304,Calibration
071-ER18,40063.45177664975,45471.92214183086,Calibration
072-ER18,53279.551122194505,44031.00759204717,Calibration
073-ER18,37947.89081885856,56698.87363163284,Calibration
074-ER18,79104.69135802469,55772.970826825025,Calibration
075-ER18,64547.160493827156,52803.8110419305,Calibration
076-ER18,72208.95522388058,54430.67237118953,Calibration
077-ER18,53351.50753768843,49528.9246960382,Calibration
079-ER18,62137.777777777774,46422.27456317151,Calibration
080-ER18,77533.74689826302,27512.540139960547,Calibration
081-ER18,55303.2911392405,45354.8416271477,Calibration
082-ER18,52574.064837905236,31751.231574555524,Calibration
083-ER18,38043.950617283954,39117.73691491889,Calibration
084-ER18,91017.92929292927,48889.348552760974,Calibration
085-ER18,40370.79207920792,40306.84365003886,Calibration
086-ER18,52797.74999999999,28090.445706487706,Calibration
087-ER18,54625.56390977444,30677.284192982435,Calibration
088-ER18,72625.67901234567,27778.29782976075,Calibration
089-ER18,90797.28395061726,52436.164274602124,Calibration
090-ER18,97237.3134328358,53090.932821023525,Calibration
092-ER18,44251.724137931036,40043.328621693465,Calibration
093-ER18,39616.37717121589,64877.857061359,Calibration
094-ER18,75541.23456790124,42398.11091231108,Calibration
095-ER18,74236.38613861387,34024.269646845314,Calibration
096-ER18,82951.60493827159,28286.25478898898,Calibration
098-ER18,7631.453201970442,105.94965682379843,Calibration
099-ER18,5809.679802955665,13671.775853443303,Calibration
100-ER18,9779.10891089109,10678.017065235279,Calibration
101-ER18,7232.561576354679,-4591.822917384896,Calibration
102-ER18,34910.89108910891,41890.395222399915,Calibration
103-ER18,25926.172839506173,36687.76351311847,Calibration
104-ER18,10953.731343283584,59746.084193105475,Calibration
105-ER18,33257.81637717122,48045.101607263045,Calibration
106-ER18,17888.14814814815,49519.647268103596,Calibration
107-ER18,28047.914572864327,44643.95384172398,Calibration
108-ER18,24452.31738035264,45612.97559277371,Calibration
109-ER18,14536.084788029924,41408.64440142918,Calibration
110-ER18,18629.62871287129,72552.69143708477,Calibration
112-ER18,15972.398989898991,33383.37820646797,Calibration
113-ER18,13754.740740740739,46542.35901335064,Calibration
114-ER18,25611.806930693067,59704.15925923328,Calibration
115-ER18,43892.835443038,72911.60750877087,Calibration
116-ER18,52116.79900744417,82579.43017298382,Calibration
117-ER18,45739.47761194031,77931.48667221356,Calibration
118-ER18,9910.226700251893,62937.43948853799,Calibration
119-ER18,36528.852867830414,69260.81846986555,Calibration
120-ER18,64963.721518987324,71011.4127323241,Calibration
122-ER18,35821.21287128713,56950.225376236944,Calibration
123-ER18,32479.975062344136,50088.18623694337,Calibration
124-ER18,52693.69077306733,58453.8459618739,Calibration
126-ER18,68377.98004987532,69491.57146823019,Calibration
127-ER18,49051.56962025316,90171.99763803794,Calibration
128-ER18,35010.925,44832.24879976543,Calibration
129-ER18,30953.96464646464,46793.429905709265,Calibration
130-ER18,52261.540404040396,41542.00965751815,Calibration
131-ER18,94327.81407035176,75227.54130114568,Calibration
132-ER18,37831.06329113923,69967.52131545157,Calibration
133-ER18,71264.22784810128,61403.03058414128,Calibration
134-ER18,38946.87817258883,61536.83459834017,Calibration
135-ER18,63634.68513853903,62775.501629633494,Calibration
136-ER18,75345.85185185184,68921.31150849951,Calibration
137-ER18,62308.553299492385,76658.63357138693,Calibration
138-ER18,18814.10447761194,34827.24991296658,Calibration
140-ER18,76979.02985074627,62511.54272202247,Calibration
141-ER18,33530.15113350125,62090.249685210336,Calibration
142-ER18,58926.573604060926,68966.32786513983,Calibration
143-ER18,35910.45112781953,54397.51143950307,Calibration
144-ER18,23278.6582278481,46831.61144054275,Calibration
145-ER18,18668.94206549118,48357.430979869634,Calibration
146-ER18,23889.675,50633.40987468588,Calibration
147-ER18,15333.173803526448,42054.83555166314,Calibration
148-ER18,27021.979949874687,58621.448703300455,Calibration
149-ER18,23446.040100250626,54940.86512957451,Calibration
150-ER18,34349.92424242424,67756.09372596322,Calibration
151-ER18,19161.50127226463,45748.57141677315,Calibration
152-ER18,19456.269035533,52701.668166385105,Calibration
154-ER18,54916.425,51738.76551054856,Calibration
155-ER18,13429.029850746267,62142.301419776355,Calibration
156-ER18,52659.185185185175,40853.09892693932,Calibration
157-ER18,39971.893939393936,58230.28711892433,Calibration
158-ER18,57376.246851385375,41519.69713990747,Calibration
160-ER18,30980.43037974683,52827.43989944698,Calibration
162-ER18,50997.13197969544,64274.69601120318,Calibration
163-ER18,28092.175,40487.597449091976,Calibration
164-ER18,45676.691919191915,37726.78060707306,Calibration
165-ER18,75340.89058524174,44282.865503925204,Calibration
166-ER18,50198.927680798006,42490.43520281908,Calibration
167-ER18,76729.87623762379,47601.86573924638,Calibration
168-ER18,75836.67499999999,47730.82517843171,Calibration
170-ER18,75443.10606060606,78986.6147424442,Calibration
171-ER18,70835.78282828283,80594.1875469172,Calibration
172-ER18,101280.22443890275,66971.84169470002,Calibration
173-ER18,83616.7160493827,64677.59113013181,Calibration
174-ER18,64143.721518987324,32831.65452423012,Calibration
176-ER18,55945.062344139646,60296.317524069236,Calibration
177-ER18,59169.035532994916,78202.97595012625,Calibration
178-ER18,59362.216624685134,80686.58199588575,Calibration
179-ER18,61687.309644670044,70877.04409251158,Calibration
180-ER18,35141.396508728176,54312.69710899623,Calibration
181-ER18,77724.87437185933,64456.29262857169,Calibration
183-ER18,126904.76190476192,82864.71627025712,Calibration
185-ER18,72561.67512690357,55496.41587413729,Calibration
186-ER18,49850.62972292191,45933.5631197701,Calibration
187-ER18,158706.32911392403,87024.40314496118,Calibration
188-ER18,69863.59102244386,81284.94635788281,Calibration
189-ER18,55623.677581863965,68853.34938807723,Calibration
190-ER18,69793.65482233503,43603.89938290168,Calibration
191-ER18,61614.46700507616,44316.10734566908,Calibration
192-ER18,115007.59493670888,72634.2462362677,Calibration
193-ER18,44517.25888324873,60703.66699828017,Calibration
194-ER18,53164.720812182764,73653.47824550867,Calibration
195-ER18,52613.19796954315,56754.21508774742,Calibration
196-ER18,28273.350253807115,60465.63474701393,Calibration
197-ER18,72227.81954887218,62375.54900415971,Calibration
199-ER18,85153.84615384616,59399.07125955024,Calibration
200-ER18,53876.88442211055,52199.78906115856,Calibration
201-ER18,33564.92537313432,58117.49730070071,Calibration
202-ER18,91597.03703703704,59978.24992455241,Calibration
204-ER18,67900.4987531172,70390.45598765726,Calibration
205-ER18,73550.25380710661,66205.63732827346,Calibration
206-ER18,97868.32917705734,70066.48541336328,Calibration
207-ER18,113310.94527363182,68638.70631525993,Calibration
208-ER18,54559.94962216624,58668.572162068755,Calibration
211-ER18,86152.03045685281,69370.08087735613,Calibration
212-ER18,89559.69773299748,63882.987394744254,Calibration
214-ER18,47412.233502538074,45757.37350722468,Calibration
215-ER18,60374.55,63745.174964751655,Calibration
216-ER18,83389.2731829574,64976.5209053826,Calibration
218-ER18,92364.22885572136,70695.22235083942,Calibration
219-ER18,61835.076142131984,34825.666175666185,Calibration
220-ER18,51308.571428571435,35097.947133419235,Calibration
221-ER18,68406.76616915423,40524.29059938075,Calibration
222-ER18,58635.13784461153,41320.675034719534,Calibration
223-ER18,60081.237623762376,60677.80444912329,Calibration
224-ER18,49924.36724565758,44978.105690302866,Calibration
225-ER18,45254.25742574258,58980.49463299937,Calibration
226-ER18,65116.09876543211,51432.27525181482,Calibration
227-ER18,25060.99502487562,44406.640283586356,Calibration
228-ER18,24994.508816120902,43147.51599504695,Calibration
229-ER18,45681.86868686869,33675.4449274802,Calibration
232-ER18,42615.64356435643,31374.357876810085,Calibration
233-ER18,47270.831234256926,47949.336814300405,Calibration
234-ER18,50186.05,27231.679708200463,Calibration
235-ER18,30335.837563451783,19359.657652916343,Calibration
236-ER18,88157.15710723189,37663.459092328514,Calibration
237-ER18,102400.04975124377,33107.502691936286,Calibration
238-ER18,89673.00248138957,36835.59842551722,Calibration
240-ER18,45817.755610972556,35576.12220003661,Calibration
241-ER18,74350.80808080807,33152.793128300415,Calibration
242-ER18,66836.11940298507,45230.08787794878,Calibration
243-ER18,76538.75930521092,34994.6637624315,Calibration
244-ER18,34216.55,36079.87462825411,Calibration
245-ER18,98105.53615960099,32565.611847556152,Calibration
246-ER18,110474.29292929293,40144.95324352176,Calibration
247-ER18,25283.672456575685,42961.99144063897,Calibration
248-ER18,158304.76426799007,41980.55487558448,Calibration
249-ER18,12332.8,17177.937343769576,Calibration
250-ER18,24324.611528822057,24423.732703855654,Calibration
251-ER18,59882.271604938265,35729.231899682534,Calibration
252-ER18,34674.86419753086,42690.13694074779,Calibration
253-ER18,20736.029776674943,31175.879244771902,Calibration
254-ER18,20573.06930693069,20077.945826500163,Calibration
255-ER18,22817.213930348265,47969.59878530007,Calibration
256-ER18,32024.98753117208,23831.55478603885,Calibration
257-ER18,46027.841191067,32163.012183437593,Calibration
259-ER18,66302.56281407035,48352.82252794488,Calibration
260-ER18,30757.086419753086,38319.219086104145,Calibration
261-ER18,35696.78391959799,38726.535785977045,Calibration
262-ER18,51623.374689826305,48520.61596079696,Calibration
263-ER18,55285.905707196034,50652.111132223465,Calibration
264-ER18,56476.2282878412,50460.12419286762,Calibration
265-ER18,52116.009975062334,41670.118661243076,Calibration
266-ER18,34009.70297029703,36137.579071902626,Calibration
