0,1,2,3
021-ER18,139473.14070351762,118143.41501782258,Validation
027-ER18,98360.32258064515,116428.5119945514,Validation
188-ER18,12637.406483790523,35132.5952566633,Validation
246-ER18,91970.45454545453,120969.26405990233,Validation
252-ER18,23638.271604938265,43119.844957524525,Validation
254-ER18,33632.17821782178,27199.09382751522,Validation
290-ER18,38455.52763819096,41181.61549078051,Validation
323-ER18,43658.91089108912,81853.10257688256,Validation
352-ER18,25742.288557213928,-3717.876789942966,Validation
392-ER18,348856.0794044665,590990.9762075229,Validation
395-ER18,37892.0987654321,57506.32553373461,Validation
470-ER18,292074.25742574263,169247.53955298048,Validation
476-ER18,89400.24691358024,71381.4887969639,Validation
020-ER18,59968.58910891089,81957.07444086068,Calibration
022-ER18,111423.95465994961,130959.81409270153,Calibration
024-ER18,140750.7673267327,144788.3419568371,Calibration
029-ER18,70556.05527638191,111095.18861689296,Calibration
031-ER18,24752.487684729054,9044.455583942825,Calibration
032-ER18,26985.91584158417,8378.169837865593,Calibration
035-ER18,20552.014925373132,41235.39125665417,Calibration
036-ER18,49282.202970297025,64361.37225057951,Calibration
038-ER18,22912.18362282879,28421.24929542991,Calibration
039-ER18,29606.476426799018,22322.68223268474,Calibration
040-ER18,29440.87719298245,24357.776659031893,Calibration
041-ER18,14568.666666666662,28148.74380397133,Calibration
043-ER18,33616.940298507456,65618.99378431686,Calibration
055-ER18,142427.9259259259,142979.89989298556,Calibration
056-ER18,128877.00495049507,158144.31428151845,Calibration
058-ER18,129636.68329177055,177318.9899005621,Calibration
062-ER18,80043.275,127717.10808081536,Calibration
086-ER18,42354.02499999999,74048.91428258119,Calibration
089-ER18,60751.87654320987,100725.06414949073,Calibration
092-ER18,74497.80788177339,112166.76785195488,Calibration
094-ER18,22090.395061728388,57725.323996780244,Calibration
095-ER18,11194.826732673266,48847.86964145858,Calibration
096-ER18,19255.827160493824,16518.3670393408,Calibration
098-ER18,41192.881773399,64489.22993517052,Calibration
099-ER18,61955.44334975369,60527.623317975034,Calibration
100-ER18,65489.38118811883,58018.93549810975,Calibration
101-ER18,34537.95566502463,68248.09469891177,Calibration
104-ER18,86559.97512437809,92944.68547277286,Calibration
105-ER18,110782.40694789082,121402.85374235036,Calibration
106-ER18,89360.76543209876,76849.87558183202,Calibration
107-ER18,77838.19095477388,77034.27363150741,Calibration
108-ER18,46824.685138539055,98738.39798382466,Calibration
109-ER18,59179.0523690773,117630.06220157549,Calibration
114-ER18,19931.68316831683,9587.000501461716,Calibration
115-ER18,25855.94936708861,41334.18477193226,Calibration
116-ER18,86608.68486352358,57747.373940563455,Calibration
117-ER18,31861.691542288547,30605.206020659898,Calibration
119-ER18,22422.19451371571,57332.44207727793,Calibration
120-ER18,19513.92405063291,-50446.07613777903,Calibration
121-ER18,38525.68578553616,-2398.6997526793634,Calibration
124-ER18,43740.149625935155,13302.322608103455,Calibration
125-ER18,62873.5,35825.41251326032,Calibration
126-ER18,31501.49625935162,-1.0383959677049213,Calibration
127-ER18,17905.063291139242,33154.456494467646,Calibration
131-ER18,75479.14572864321,30017.405890316764,Calibration
134-ER18,70584.51776649746,113382.9540113947,Calibration
135-ER18,102613.60201511334,86163.00101692238,Calibration
140-ER18,126059.70149253732,104480.74643291719,Calibration
177-ER18,13663.197969543151,50194.187225458256,Calibration
178-ER18,7327.329974811081,55639.95769837117,Calibration
179-ER18,21124.365482233494,47423.8214270891,Calibration
181-ER18,18254.27135678392,33521.34097097944,Calibration
183-ER18,9860.551378446118,11554.45252997986,Calibration
187-ER18,9686.379746835444,15702.788351578494,Calibration
191-ER18,58170.05076142133,135455.01789092552,Calibration
197-ER18,58437.84461152883,127117.4030463926,Calibration
245-ER18,68299.25187032418,91758.33404025243,Calibration
248-ER18,95307.1960297767,126577.24747886439,Calibration
251-ER18,16470.864197530856,16349.732065027238,Calibration
253-ER18,18841.68734491315,2064.8089573452744,Calibration
255-ER18,64702.48756218908,52124.89889195682,Calibration
257-ER18,44499.75186104218,56134.27046501417,Calibration
258-ER18,60659.753086419776,51044.11016711131,Calibration
281-ER18,375307.69230769225,177791.5007681023,Calibration
282-ER18,29965.43209876544,140030.99448734825,Calibration
284-ER18,163896.72544080607,172597.58418316694,Calibration
289-ER18,32892.48120300752,19447.106406899456,Calibration
291-ER18,23094.292803970224,70444.3030312664,Calibration
292-ER18,28131.683168316835,54311.352356711934,Calibration
293-ER18,38320.79207920792,32366.472328759646,Calibration
294-ER18,40177.970297029715,63947.048442347055,Calibration
295-ER18,37612.158808933,28905.79650948644,Calibration
296-ER18,41334.074074074066,58009.726046321026,Calibration
297-ER18,29890.32258064517,61630.58133552603,Calibration
298-ER18,41040.89775561098,36586.77046553264,Calibration
299-ER18,36868.93939393939,84980.498011854,Calibration
300-ER18,118818.407960199,119753.2997290159,Calibration
301-ER18,61459.40594059408,104060.50776769686,Calibration
302-ER18,64516.79012345677,108223.20702450219,Calibration
303-ER18,84166.41975308643,88774.0952370202,Calibration
304-ER18,146544.55445544556,101000.30288386674,Calibration
305-ER18,138185.18518518517,143983.46907234078,Calibration
307-ER18,112597.01492537317,72697.87579825308,Calibration
309-ER18,168555.55555555553,175575.18515754183,Calibration
313-ER18,113389.02743142145,97196.88722234359,Calibration
314-ER18,161456.57568238216,144308.26542058552,Calibration
315-ER18,214617.28395061727,174415.37255177973,Calibration
319-ER18,58240.246913580224,72156.17272255674,Calibration
320-ER18,86484.69135802469,101048.64161350361,Calibration
324-ER18,18333.58024691358,16705.122153861972,Calibration
328-ER18,53249.38271604938,60402.806746739,Calibration
329-ER18,45441.66666666668,31886.951905184604,Calibration
330-ER18,68329.87341772152,48732.680253424034,Calibration
331-ER18,28679.396984924628,81322.26029395322,Calibration
333-ER18,64240.099009901,55190.47477210335,Calibration
351-ER18,30185.359801488834,51557.03509142824,Calibration
353-ER18,36586.17283950617,12585.348458156775,Calibration
361-ER18,140950.2487562189,160032.46522500657,Calibration
363-ER18,101688.11881188117,125760.13038563196,Calibration
385-ER18,705035.1758793971,203448.94818845158,Calibration
388-ER18,183234.5679012345,234788.2527363639,Calibration
390-ER18,141233.66834170854,170936.37590988027,Calibration
391-ER18,156609.87654320983,173784.74311092653,Calibration
393-ER18,102261.2658227848,191162.92849459295,Calibration
394-ER18,8405.508684863524,75501.89614169972,Calibration
396-ER18,23294.074074074084,31634.206272697436,Calibration
397-ER18,28861.97530864197,42173.276126734236,Calibration
398-ER18,36980.98765432099,13957.39608644955,Calibration
