0,1,2,3
031-ER18,24752.487684729054,30522.81458351931,Validation
032-ER18,26985.91584158417,39212.82722258394,Validation
040-ER18,29440.87719298245,17813.496626447668,Validation
099-ER18,61955.44334975369,70801.50881995734,Validation
121-ER18,38525.68578553616,31621.626192981596,Validation
124-ER18,43740.149625935155,39100.36322704386,Validation
127-ER18,17905.063291139242,18252.469274794024,Validation
257-ER18,44499.75186104218,42988.536133502275,Validation
295-ER18,37612.158808933,18096.20356298689,Validation
397-ER18,28861.97530864197,47678.6372290547,Validation
400-ER18,58542.28855721393,62290.02726334765,Validation
020-ER18,59968.58910891089,50553.122668710355,Calibration
035-ER18,20552.014925373132,39163.84564555568,Calibration
036-ER18,49282.202970297025,35195.32066085566,Calibration
038-ER18,22912.18362282879,27482.27602567377,Calibration
039-ER18,29606.476426799018,17689.60514786397,Calibration
041-ER18,14568.666666666662,20630.073206482524,Calibration
043-ER18,33616.940298507456,50206.84430049898,Calibration
094-ER18,22090.395061728388,19941.976296649238,Calibration
095-ER18,11194.826732673266,25446.49084469746,Calibration
096-ER18,19255.827160493824,15191.299076862197,Calibration
098-ER18,41192.881773399,72933.75657994117,Calibration
100-ER18,65489.38118811883,49183.44959685187,Calibration
101-ER18,34537.95566502463,59785.705087497015,Calibration
114-ER18,19931.68316831683,34511.549962096826,Calibration
115-ER18,25855.94936708861,47527.87857942747,Calibration
116-ER18,86608.68486352358,48888.82786831265,Calibration
117-ER18,31861.691542288547,51277.749847039086,Calibration
119-ER18,22422.19451371571,36904.29542876885,Calibration
120-ER18,19513.92405063291,-10702.568739957696,Calibration
125-ER18,62873.5,51822.2679992857,Calibration
126-ER18,31501.49625935162,13430.84607980795,Calibration
131-ER18,75479.14572864321,42005.25384957026,Calibration
177-ER18,13663.197969543151,34796.595158597775,Calibration
178-ER18,7327.329974811081,30294.431759414376,Calibration
179-ER18,21124.365482233494,37628.09783825768,Calibration
181-ER18,18254.27135678392,30273.299916486132,Calibration
183-ER18,9860.551378446118,12863.412347698575,Calibration
187-ER18,9686.379746835444,19519.882198816027,Calibration
188-ER18,12637.406483790523,14078.544394745104,Calibration
251-ER18,16470.864197530856,25016.06064931538,Calibration
252-ER18,23638.271604938265,43876.17894100817,Calibration
253-ER18,18841.68734491315,24341.911634191332,Calibration
254-ER18,33632.17821782178,42739.703522354444,Calibration
255-ER18,64702.48756218908,49868.602494073835,Calibration
258-ER18,60659.753086419776,59504.55775951806,Calibration
282-ER18,29965.43209876544,44343.0109143983,Calibration
289-ER18,32892.48120300752,12957.423703255763,Calibration
290-ER18,38455.52763819096,26927.44900266374,Calibration
291-ER18,23094.292803970224,31541.375940924445,Calibration
292-ER18,28131.683168316835,42449.129783224445,Calibration
293-ER18,38320.79207920792,25018.099077013878,Calibration
294-ER18,40177.970297029715,41897.44627653207,Calibration
296-ER18,41334.074074074066,45194.037470245414,Calibration
297-ER18,29890.32258064517,35289.089882841814,Calibration
298-ER18,41040.89775561098,25125.594354129655,Calibration
299-ER18,36868.93939393939,67641.85596143892,Calibration
300-ER18,118818.407960199,109354.68103118925,Calibration
301-ER18,61459.40594059408,77463.20507568213,Calibration
302-ER18,64516.79012345677,70653.1275300137,Calibration
303-ER18,84166.41975308643,90151.44423291116,Calibration
304-ER18,146544.55445544556,91083.79788712654,Calibration
305-ER18,138185.18518518517,119761.14642045098,Calibration
307-ER18,112597.01492537317,75460.8548302851,Calibration
319-ER18,58240.246913580224,53828.726853498294,Calibration
320-ER18,86484.69135802469,64195.30891018253,Calibration
323-ER18,43658.91089108912,52886.70297267512,Calibration
324-ER18,18333.58024691358,34182.97880313662,Calibration
328-ER18,53249.38271604938,47169.80210310259,Calibration
329-ER18,45441.66666666668,34437.901083323864,Calibration
330-ER18,68329.87341772152,55834.32814832963,Calibration
331-ER18,28679.396984924628,42613.443488635865,Calibration
333-ER18,64240.099009901,43412.62362648963,Calibration
351-ER18,30185.359801488834,46803.699860457156,Calibration
352-ER18,25742.288557213928,19789.958018787755,Calibration
353-ER18,36586.17283950617,27777.591452864308,Calibration
394-ER18,8405.508684863524,53457.27268564834,Calibration
395-ER18,37892.0987654321,41344.937961971955,Calibration
396-ER18,23294.074074074084,43703.802988526564,Calibration
398-ER18,36980.98765432099,31413.05866681433,Calibration
399-ER18,38965.18518518518,54800.79485041052,Calibration
401-ER18,36879.60199004975,14586.01421759601,Calibration
402-ER18,41313.82716049382,32707.50153721761,Calibration
403-ER18,43325.373134328336,49784.97979954558,Calibration
429-ER18,21859.74683544304,34419.62374855729,Calibration
434-ER18,37063.999999999985,45649.28341013355,Calibration
435-ER18,30620.253164556972,45761.32610774337,Calibration
437-ER18,39937.03703703704,41168.04470895632,Calibration
438-ER18,22854.455445544554,37980.602564374494,Calibration
462-ER18,267717.82178217825,196787.898034385,Calibration
474-ER18,49685.92592592592,65511.04876166463,Calibration
475-ER18,62340.246913580224,85112.00779776581,Calibration
476-ER18,89400.24691358024,94867.2428691829,Calibration
477-ER18,117229.62962962964,73131.56215418692,Calibration
478-ER18,93631.8518518518,81774.81377839265,Calibration
