0,1,2,3
008-ER18,34615.275,-39953.59595383098,Validation
016-ER18,24387.89603960396,-15578.500735667767,Validation
028-ER18,114037.9900744417,70740.6201269324,Validation
029-ER18,70556.05527638191,104418.54683216242,Validation
083-ER18,15682.246913580244,56984.946809145506,Validation
086-ER18,42354.02499999999,99929.02958695753,Validation
088-ER18,79692.86419753086,160526.372702328,Validation
110-ER18,102702.97029702972,357659.2865730574,Validation
149-ER18,38996.24060150376,50792.4806620375,Validation
162-ER18,28616.751269035536,3118.605278511299,Validation
163-ER18,35372.749999999985,706.8888599546626,Validation
190-ER18,110096.44670050764,141282.68977376638,Validation
200-ER18,31759.54773869346,77039.2141055438,Validation
236-ER18,37298.75311720698,13905.722129823407,Validation
260-ER18,40119.25925925926,113275.08529168786,Validation
263-ER18,34193.7965260546,123680.384928704,Validation
373-ER18,75001.01010101009,302969.34726004954,Validation
404-ER18,40766.58415841585,13882.65490759653,Validation
465-ER18,946644.4444444444,199034.9589632365,Validation
001-ER18,28484.15617128463,-84818.54006553919,Calibration
002-ER18,40660.22670025189,-81509.06719560269,Calibration
003-ER18,25301.532663316582,-124811.49433424417,Calibration
004-ER18,24249.015151515152,-201466.99047107156,Calibration
005-ER18,37076.155778894485,50436.23113779398,Calibration
006-ER18,52056.74129353234,-50653.05028632027,Calibration
007-ER18,35548.136020151134,-23520.82434495096,Calibration
009-ER18,57473.510101010106,-7265.060069271596,Calibration
010-ER18,30341.037974683546,-34509.63536891434,Calibration
011-ER18,28660.22388059701,116399.25286356988,Calibration
012-ER18,25400.765432098764,87482.57327913994,Calibration
013-ER18,31201.5061728395,47042.175048672594,Calibration
015-ER18,25157.8024691358,-14813.334348179633,Calibration
017-ER18,16370.714285714284,14998.338962454814,Calibration
018-ER18,18122.0,69892.8290895836,Calibration
019-ER18,31302.740740740737,61659.12305568601,Calibration
021-ER18,139473.14070351762,118424.1372944637,Calibration
022-ER18,111423.95465994961,148744.55943102646,Calibration
024-ER18,140750.7673267327,188356.98804616532,Calibration
027-ER18,98360.32258064515,39441.404744662344,Calibration
044-ER18,49436.18453865336,114440.68012176105,Calibration
045-ER18,20338.6386138614,19623.59127400501,Calibration
046-ER18,48682.158808932996,-5584.952736112988,Calibration
047-ER18,40597.06896551724,9364.342581671313,Calibration
048-ER18,31478.103448275866,-45330.85034316289,Calibration
050-ER18,18506.97270471464,-150.14261570037343,Calibration
051-ER18,26397.301980198023,176861.09283794928,Calibration
052-ER18,35764.381188118816,18380.858441149816,Calibration
053-ER18,28340.477386934683,57255.834883595584,Calibration
054-ER18,31254.45569620253,48379.73827359488,Calibration
055-ER18,142427.9259259259,156725.1274098634,Calibration
056-ER18,128877.00495049507,213239.28277857404,Calibration
057-ER18,139879.18114143927,142055.20742571983,Calibration
058-ER18,129636.68329177055,107790.31049164594,Calibration
062-ER18,80043.275,183515.9885261484,Calibration
065-ER18,69946.40897755613,35395.575102363015,Calibration
067-ER18,30587.835820895518,417.3431675375905,Calibration
069-ER18,50618.681592039786,35980.421784181846,Calibration
071-ER18,19106.624365482243,-70725.38607609563,Calibration
072-ER18,25408.753117206983,3030.3976225210354,Calibration
073-ER18,26361.066997518617,11543.184899849119,Calibration
074-ER18,29541.259259259263,58871.03559027286,Calibration
075-ER18,27101.5061728395,10547.001302772318,Calibration
076-ER18,34616.442786069645,-14051.290982102742,Calibration
077-ER18,54362.08542713568,-39547.06516012305,Calibration
078-ER18,38522.66169154229,68012.28822370816,Calibration
079-ER18,34896.567901234564,4803.536613706732,Calibration
080-ER18,35649.65260545905,23407.560961216455,Calibration
081-ER18,31825.341772151904,73420.07491453341,Calibration
082-ER18,46644.91271820449,30747.271379698068,Calibration
084-ER18,31755.328282828286,47492.33885812806,Calibration
089-ER18,60751.87654320987,118383.86871874484,Calibration
090-ER18,135739.57711442787,151146.76708393777,Calibration
092-ER18,74497.80788177339,119810.27639020712,Calibration
093-ER18,159921.36476426802,121035.04627723037,Calibration
104-ER18,86559.97512437809,114564.10052565939,Calibration
105-ER18,110782.40694789082,184494.60538358288,Calibration
106-ER18,89360.76543209876,87492.2005303264,Calibration
107-ER18,77838.19095477388,87130.73323250737,Calibration
108-ER18,46824.685138539055,80670.44381664193,Calibration
109-ER18,59179.0523690773,140134.25493406528,Calibration
111-ER18,131741.11675126903,165119.97460007388,Calibration
134-ER18,70584.51776649746,39747.13806265488,Calibration
135-ER18,102613.60201511334,177340.12505134824,Calibration
137-ER18,121751.26903553301,126520.5613168471,Calibration
140-ER18,126059.70149253732,87219.6995311717,Calibration
141-ER18,97604.78589420656,238509.99860968266,Calibration
142-ER18,168474.61928934013,109910.24094373826,Calibration
143-ER18,128754.38596491225,143972.75359185797,Calibration
144-ER18,36536.708860759485,162282.12114620686,Calibration
145-ER18,39729.72292191436,87270.98389586504,Calibration
146-ER18,39718.75,139980.4265837425,Calibration
147-ER18,32562.468513853906,88697.34495171136,Calibration
148-ER18,40979.448621553885,57146.85067220498,Calibration
150-ER18,29466.161616161626,-16117.307714293012,Calibration
151-ER18,24485.241730279904,34758.19229129888,Calibration
152-ER18,43663.95939086296,115987.0773740136,Calibration
153-ER18,35300.49382716049,41668.54400373367,Calibration
154-ER18,44454.24999999999,48067.04952021153,Calibration
155-ER18,54789.054726368166,119620.0481985372,Calibration
156-ER18,32688.641975308637,13490.037895857706,Calibration
157-ER18,19744.19191919192,-13886.955499084084,Calibration
158-ER18,35030.730478589416,19869.910418857355,Calibration
160-ER18,28658.481012658227,14422.60163150134,Calibration
161-ER18,31597.74436090226,-57185.37187681114,Calibration
164-ER18,16720.959595959594,-18102.09521233337,Calibration
165-ER18,42429.262086514,-11812.878854165552,Calibration
166-ER18,47737.90523690773,48493.69129642658,Calibration
167-ER18,50955.69306930694,70653.97357922466,Calibration
168-ER18,36336.25,39413.23067682539,Calibration
169-ER18,39110.88607594936,-7814.078296933672,Calibration
170-ER18,57400.0,115973.78435373469,Calibration
171-ER18,36299.49494949496,110714.54532265302,Calibration
172-ER18,39159.60099750623,118865.86203886499,Calibration
173-ER18,43338.51851851851,19642.149806394475,Calibration
174-ER18,24340.506329113927,-5498.56901148241,Calibration
176-ER18,23148.129675810473,83579.09766244132,Calibration
180-ER18,37073.81546134663,155490.18932023924,Calibration
191-ER18,58170.05076142133,53446.66283847031,Calibration
192-ER18,97642.27848101265,225161.41842871025,Calibration
193-ER18,82072.84263959393,281738.42503655446,Calibration
194-ER18,179713.19796954317,181220.34219201328,Calibration
195-ER18,123208.12182741119,126060.50494879979,Calibration
197-ER18,58437.84461152883,146905.9071244998,Calibration
199-ER18,33603.72208436725,35216.43496480654,Calibration
201-ER18,25732.089552238805,70284.08199752006,Calibration
202-ER18,24934.074074074062,51564.05164959212,Calibration
204-ER18,36900.0,93662.73866437201,Calibration
205-ER18,33330.71065989848,40418.117047930136,Calibration
206-ER18,29507.730673316702,-21949.600816592574,Calibration
207-ER18,45946.51741293533,78882.27304771508,Calibration
208-ER18,28493.45088161209,-29106.915321651148,Calibration
211-ER18,22664.46700507614,61273.660803590086,Calibration
212-ER18,42063.72795969773,132868.27162392484,Calibration
213-ER18,33965.48223350254,61459.45399192389,Calibration
214-ER18,31197.461928934015,114185.23700606194,Calibration
215-ER18,31498.25,93852.96249213489,Calibration
216-ER18,33940.6015037594,71575.80242582923,Calibration
218-ER18,27210.94527363184,69867.62854427553,Calibration
219-ER18,28335.786802030463,56794.072749681385,Calibration
220-ER18,45346.616541353396,32759.472075872007,Calibration
221-ER18,32453.233830845766,35043.665147947264,Calibration
222-ER18,35163.40852130326,7293.087985347724,Calibration
223-ER18,29978.712871287127,91100.75770945172,Calibration
224-ER18,30480.39702233252,28677.608436516486,Calibration
225-ER18,35113.86138613862,62829.453882841626,Calibration
226-ER18,38286.91358024692,89026.50482793106,Calibration
227-ER18,32432.835820895518,62852.87323622557,Calibration
228-ER18,34875.81863979848,8085.806816277676,Calibration
229-ER18,24765.656565656558,947.2862908224342,Calibration
232-ER18,39640.099009900994,19702.679029300576,Calibration
233-ER18,33285.390428211584,19316.789223106694,Calibration
234-ER18,36233.75,-33917.929864181904,Calibration
235-ER18,32591.878172588837,27684.2977896902,Calibration
237-ER18,31494.527363184083,1803.32356319041,Calibration
238-ER18,48589.578163771715,-47176.74083138094,Calibration
243-ER18,112419.35483870965,106262.29304879227,Calibration
245-ER18,68299.25187032418,100890.99341447547,Calibration
246-ER18,91970.45454545453,36659.58657024338,Calibration
248-ER18,95307.1960297767,48379.68777876295,Calibration
259-ER18,30008.291457286432,86381.80011129752,Calibration
261-ER18,37693.21608040202,71722.57579867216,Calibration
262-ER18,87748.13895781638,148170.03967349487,Calibration
264-ER18,24172.7047146402,29350.909739528666,Calibration
265-ER18,84525.43640897756,156910.18312486343,Calibration
266-ER18,256351.48514851488,76204.18882504315,Calibration
267-ER18,100926.98019801981,244371.17912476836,Calibration
268-ER18,39760.705289672536,86120.22624508938,Calibration
269-ER18,46375.55555555555,31826.863402465126,Calibration
270-ER18,28872.52475247525,90514.22215625376,Calibration
272-ER18,67401.97530864197,118276.66150243557,Calibration
273-ER18,53929.97481108311,95389.58104992774,Calibration
274-ER18,76737.31343283581,59351.19923894957,Calibration
275-ER18,79297.72727272728,-5308.436410805676,Calibration
276-ER18,34763.092269326684,87635.277042798,Calibration
277-ER18,38491.0447761194,128192.19933760085,Calibration
278-ER18,63764.179104477626,57926.06247108115,Calibration
280-ER18,221948.0198019801,426094.2863626012,Calibration
281-ER18,375307.69230769225,130376.28665789601,Calibration
283-ER18,398462.311557789,230495.9919262653,Calibration
284-ER18,163896.72544080607,193006.72472658218,Calibration
309-ER18,168555.55555555553,183029.40286284534,Calibration
310-ER18,276572.8395061728,197444.66668886645,Calibration
311-ER18,87223.70370370371,92274.18967449362,Calibration
313-ER18,113389.02743142145,23108.503079037648,Calibration
314-ER18,161456.57568238216,169961.11433952837,Calibration
315-ER18,214617.28395061727,201542.31154358317,Calibration
316-ER18,159331.68316831684,203259.16812293907,Calibration
317-ER18,122588.97243107775,117744.18959256157,Calibration
334-ER18,46376.70886075949,70377.42190983985,Calibration
336-ER18,37792.658227848086,34845.35801091185,Calibration
338-ER18,40553.67088607594,67733.35507194954,Calibration
340-ER18,28984.158415841583,116687.72272303444,Calibration
341-ER18,48118.90547263682,54117.94424993219,Calibration
342-ER18,59768.888888888876,124540.34600932174,Calibration
343-ER18,38165.43209876543,52660.70571816224,Calibration
344-ER18,39122.52475247525,35371.304715934326,Calibration
345-ER18,24641.41414141414,26510.020171957323,Calibration
346-ER18,54317.369727047146,37683.129707012326,Calibration
347-ER18,65887.71929824562,95780.4302057398,Calibration
348-ER18,32045.273631840795,51.421684099012055,Calibration
349-ER18,44936.815920397996,-30217.61024031462,Calibration
