Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
1C,4,2164.6832,2184.7661,2145.6244,2086.8991,2125.2587,2161.5014,2122.4887,2140.2165,2143.8123,2185.7145,2312.9405
1C,9,2219.4834,2071.1211,2038.7434,1950.5961,1947.1991,1913.5513,1884.8128,1836.786,1828.5733,1870.576,1939.5262
1C,5,2342.5331,2279.1221,2230.6612,2151.7636,2139.0096,2162.6582,2190.9636,2179.4017,2221.7164,2251.6781,2309.6847
1C,5,1854.1327,1855.1134,1836.6868,1815.8867,1800.193,1833.0878,1839.26,1863.5728,1878.4003,1908.4492,2042.555
1C,3,1354.8899,1355.6658,1327.9141,1346.2145,1410.4028,1417.2563,1454.1864,1429.5874,1403.8624,1470.0597,1511.9244
1C,2,1618.0138,1597.9979,1620.8985,1619.9177,1627.532,1672.5928,1682.7173,1720.5507,1705.3507,1737.1726,1836.5135
1C,9,2656.4498,2604.8262,2551.1054,2587.3413,2554.0984,2515.0815,2474.1655,2411.9506,2383.7643,2469.9763,2523.5953
1C,9,2271.8027,2238.4622,2254.0786,2275.7105,2263.3468,2257.7306,2263.6904,2249.9675,2224.8617,2272.0818,2379.7658
1C,9,2363.0582,2355.4104,2341.1397,2322.8726,2341.011,2336.4884,2255.4169,2239.3989,2217.9633,2245.308,2279.5265
1C,5,2080.0602,2105.8916,2084.474,2083.6715,2049.6998,2086.1463,2080.5409,2085.9178,2106.2722,2144.151,2275.1661
1C,4,2066.4813,2033.1431,2007.0085,2000.918,2004.6228,2035.6086,2037.4484,2026.3929,2019.3793,2077.2902,2170.5919
1C,7,2373.5089,2332.4703,2309.1842,2273.6155,2298.4834,2297.3497,2267.1809,2276.6969,2292.2473,2320.7425,2446.4633
1C,5,2281.1421,2253.5848,2237.363,2232.0754,2220.2277,2240.6712,2227.4059,2246.6729,2245.4573,2286.4,2364.9084
1C,4,2072.6327,2002.3656,1908.1879,1869.9951,1907.8689,1921.5321,1878.7621,1901.2669,1918.3721,1950.7162,2044.406
1C,8,2155.8919,2145.1636,2148.7834,2139.1397,2130.0334,2151.7892,2152.3566,2126.5421,2131.746,2170.074,2267.627
1C,8,2382.7698,2392.7794,2363.7243,2363.8703,2327.4439,2355.1434,2334.8655,2318.7091,2320.1163,2375.3665,2468.7678
1C,2,2330.7598,2245.9427,2254.1605,2253.1866,2288.0514,2308.9233,2287.9872,2280.0157,2287.1686,2347.2012,2458.7423
1C,5,1700.4039,1709.2514,1687.5768,1649.5059,1619.8044,1682.4674,1686.7268,1709.93,1748.8478,1822.466,1962.5766
1C,1,1324.7366,1328.5059,1347.5133,1325.98,1347.0353,1377.4235,1402.374,1407.3454,1456.54,1538.2749,1671.0856
1C,8,2211.8699,2247.125,2166.0666,2178.2111,2145.9316,2163.0001,2160.2604,2118.7661,2124.522,2174.1406,2269.047
1C,9,2340.8194,2309.3293,2271.0755,2316.1881,2281.3384,2289.8691,2269.7098,2261.1906,2258.2712,2319.1963,2414.6034
1C,9,2237.5136,2249.9247,2286.9205,2272.7399,2268.794,2216.1483,2193.0928,2169.4065,2153.5995,2170.2633,2234.0786
1C,1,1851.4467,1893.0271,1864.5732,1866.144,1873.6361,1881.5464,1872.2091,1885.7883,1910.8758,1942.9131,2038.1631
1C,8,2165.7409,2189.3152,2186.7492,2196.367,2210.9568,2186.1005,2138.008,2114.8912,2133.5127,2205.0356,2304.6707
1C,5,2199.0852,2130.1736,2100.5332,2077.1426,2063.583,2067.844,2094.6701,2080.4346,2117.538,2145.5481,2208.8434
1C,7,2368.0791,2290.3811,2277.2665,2266.3501,2277.026,2301.375,2261.6773,2284.281,2288.6853,2318.9872,2342.9829
1C,1,1638.7109,1667.9434,1656.1092,1667.504,1669.8417,1717.4413,1720.6359,1758.6142,1753.1141,1776.5355,1873.4611
1C,8,2398.1117,2412.0956,2384.1977,2411.8199,2440.631,2423.1568,2403.7149,2374.2229,2393.3852,2415.3017,2490.9921
1C,8,2337.4494,2295.9339,2300.1725,2292.1402,2241.4221,2216.0495,2203.5815,2189.53,2205.546,2249.6824,2323.2666
1C,9,2366.1085,2345.2384,2336.8761,2308.5189,2290.8488,2246.6454,2207.2928,2201.4485,2177.9737,2222.9632,2296.0929
1C,8,2124.2201,2137.7815,2137.7745,2088.4249,2116.1877,2130.858,2120.6703,2066.3876,2114.5943,2167.5567,2254.8551
1C,3,2099.3382,2040.3234,2034.3331,2050.0411,2054.9201,2065.1336,2063.184,2051.7036,2066.4585,2122.6331,2232.8139
1C,4,1572.8333,1552.9346,1531.7983,1499.6769,1528.3194,1546.1178,1556.6076,1570.7067,1558.8974,1588.4939,1705.3091
1C,5,2163.1298,2132.9874,2087.9752,2015.3882,1999.3919,2021.3856,2021.2206,2067.2841,2067.6286,2115.0325,2232.6495
1C,8,2700.1427,2643.3954,2633.8254,2573.0502,2540.1315,2542.9024,2514.2714,2488.168,2525.0704,2546.7167,2610.9886
1C,5,2162.6897,2130.36,2126.5831,2060.601,2032.3352,2065.002,2038.2265,2061.595,2079.567,2117.0761,2198.1123
1C,7,1663.6108,1609.911,1602.1872,1571.0222,1568.0172,1571.3988,1566.9114,1590.1546,1605.37,1650.3336,1812.1869
1C,8,2225.5358,2195.7228,2215.7261,2186.8296,2199.6433,2220.6689,2187.2819,2176.8011,2177.9755,2215.4041,2310.7882
1C,8,2064.8056,2022.1285,2092.4192,2059.2913,2032.6097,1991.8606,1968.3694,1921.5928,1935.4545,1924.6006,2073.8812
1C,2,1774.0403,1758.5649,1796.0637,1769.117,1829.2833,1965.2345,1989.0911,1946.852,1977.4265,2110.3787,2078.7368
1C,9,2361.6417,2280.0511,2347.302,2365.0263,2354.7481,2299.1387,2275.4934,2272.7331,2264.9578,2303.038,2374.701
1C,8,2414.3381,2364.1492,2350.7565,2337.6794,2345.5103,2365.2086,2321.7366,2276.1123,2280.8048,2321.8719,2417.4598
1C,7,1865.0388,1883.3296,1826.9661,1788.411,1775.2507,1790.7616,1735.5222,1758.4792,1767.7116,1795.5907,1941.2879
1C,9,2209.9991,2149.2107,2174.025,2217.2716,2236.3662,2264.4249,2183.8551,2142.6631,2133.7516,2162.002,2300.4535
1C,7,2337.8249,2337.0071,2328.439,2342.1416,2341.5763,2320.0118,2274.0786,2274.639,2275.2754,2287.599,2383.4722
1C,4,1846.9849,1825.7227,1784.7791,1744.7544,1757.4554,1761.1258,1860.9859,1843.4543,1837.1722,1857.0223,1944.6518
1C,8,1732.9951,1704.2746,1699.6826,1654.269,1682.772,1684.2657,1657.543,1649.8202,1651.7894,1697.1098,1825.5101
1C,9,2201.999,2261.1539,2173.2692,2151.9504,2196.2827,2237.5152,2196.0122,2186.9582,2138.7059,2182.9041,2296.2349
1C,4,2176.2996,2075.1168,2060.3345,1987.1349,2005.4479,2054.7934,2059.2834,2066.5338,2073.0956,2125.7585,2190.9591
1C,5,2054.9119,2029.1912,1992.3261,1977.9592,1961.2721,1968.2264,1981.2746,1965.4573,2014.9576,2030.2561,2147.2845
1C,9,2079.8896,2065.3213,2036.9087,1992.2299,1979.3913,1995.0048,1973.0192,1969.1753,1962.1546,1972.0144,2091.6558
1C,8,2270.0602,2264.1566,2270.9551,2234.533,2236.0941,2215.1094,2189.2415,2168.5641,2181.5087,2226.7186,2344.0383
1C,5,2221.8348,2169.47,2155.235,2115.5492,2078.2728,2110.723,2122.1676,2130.2589,2157.3113,2182.7935,2282.3664
1C,7,2347.8174,2369.1832,2269.0752,2271.3267,2261.7083,2295.456,2251.1081,2270.1183,2268.7025,2270.9107,2362.715
1C,1,1479.7628,1503.0049,1499.0782,1511.6318,1515.377,1519.5531,1537.8264,1505.5016,1542.1537,1579.064,1675.9682
1C,8,2158.0579,2151.6894,2169.9749,2169.6489,2165.9623,2157.9437,2125.5176,2121.6145,2132.1529,2155.8847,2216.3993
1C,9,2326.6864,2302.5941,2288.5044,2296.4065,2310.0827,2305.3021,2283.2485,2254.0885,2250.8019,2281.241,2372.8453
1C,5,2332.6465,2302.0664,2259.6424,2241.4641,2241.0456,2273.2315,2271.054,2268.7279,2272.5409,2316.6568,2397.7488
1C,9,2177.3976,2244.8638,2160.0463,2078.1259,2041.7603,2036.6167,2023.6679,2011.3644,2004.5743,2043.1807,2131.6422
1C,3,2330.481,2302.5791,2302.0113,2330.3118,2345.945,2368.9406,2322.6202,2324.3281,2331.1311,2364.4985,2452.5048
1C,3,1470.263,1461.3484,1449.2449,1449.5588,1461.9052,1492.1013,1521.319,1536.6846,1593.047,1646.2849,1747.9172
