Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
1C,4,1538.3434,1526.3405,1522.8582,1522.0038,1537.4464,1534.6779,1553.6113,1574.0437,1596.418,1619.1225,1648.3513
1C,5,1690.9771,1680.5127,1673.5391,1673.279,1672.15,1681.1725,1687.3362,1707.0905,1740.4019,1804.9405,1852.1846
1C,5,1570.6998,1548.1536,1552.9951,1533.3419,1532.9176,1534.4468,1539.0549,1546.7004,1565.2103,1604.3349,1626.7511
1C,7,1804.3291,1799.6221,1800.339,1802.0382,1802.2487,1804.7323,1792.134,1800.3533,1825.0722,1859.8522,1881.6663
1C,3,1634.2691,1608.8098,1607.6332,1612.3884,1616.1262,1624.4729,1638.6033,1649.0438,1679.2731,1710.0379,1736.4578
1C,1,1446.1508,1450.8218,1463.6826,1467.6234,1494.0169,1491.3603,1518.3506,1547.4366,1571.3039,1632.3193,1678.5076
1C,7,1981.9731,1970.0366,1975.5854,1991.4711,1986.9872,1983.1877,1963.698,1967.2672,1986.7325,2021.3002,2048.6231
1C,4,1924.5108,1900.3843,1899.0533,1896.0783,1910.3338,1910.5406,1910.4483,1927.1111,1946.8684,1967.2556,1995.3992
1C,7,1925.917,1918.4866,1905.9102,1881.5001,1866.2166,1863.0997,1855.781,1859.5595,1890.5114,1932.6419,1977.058
1C,4,1668.8834,1655.1376,1656.1882,1653.5573,1663.4504,1676.0362,1689.2126,1705.6446,1736.3327,1785.2073,1825.0795
1C,5,1978.2092,1958.8674,1949.2761,1950.1767,1940.3267,1941.822,1942.6552,1950.0233,1966.6941,1999.0965,2020.9919
1C,6,2000.9768,1997.183,1990.0317,1987.8163,1979.1186,1978.4607,1985.2103,1991.1633,2011.4772,2040.6994,2069.3672
1C,2,1818.3369,1802.0593,1815.0894,1814.8852,1833.1961,1842.1918,1857.3915,1872.8582,1910.8374,1961.5646,2009.7019
1C,5,1670.8506,1659.9369,1656.9488,1670.9786,1647.6765,1666.8149,1669.1399,1676.5171,1695.6181,1727.2677,1759.175
