Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
1C,1,128.1695,131.0368,133.2023,135.8173,137.9389,137.9577,139.0569,139.392,149.0207,157.5428,177.3187
1C,2,137.9836,134.797,134.9585,138.6669,137.7282,140.235,142.3599,146.331,158.1539,180.9735,198.7492
1C,4,170.9538,167.5269,163.8038,163.6118,164.7023,165.2968,172.1064,178.143,187.2244,196.5279,203.6898
1C,1,158.1742,160.5904,161.5497,162.9467,163.9301,168.8564,172.6704,178.2295,189.9988,197.5057,205.3475
1C,1,109.6695,110.0438,113.1822,112.0749,116.1307,117.9513,119.2384,125.6077,132.0851,140.9515,154.0373
1C,1,148.7677,152.5424,158.3619,161.1283,162.5697,164.5371,169.5113,176.3751,185.3878,196.3237,232.2863
1C,8,210.6157,209.157,208.8762,206.0403,206.8998,206.5194,210.8109,204.3056,217.766,229.566,256.7071
1C,7,199.4077,196.3836,195.2713,188.9841,190.4313,189.0336,185.0724,189.2108,196.4104,198.081,207.7161
1C,1,191.3721,193.9542,195.5021,198.4096,202.0047,205.3463,203.8925,211.4884,216.0219,228.0451,254.2314
1C,6,175.948,175.8883,173.4316,170.6424,170.0084,169.4375,176.3526,178.0565,189.8957,199.2615,228.6173
1C,5,205.6952,206.3844,200.8618,196.8582,195.2472,198.8843,196.3991,200.3489,211.0206,215.0752,231.9403
1C,5,217.1904,214.8411,209.8333,206.5548,205.2162,209.0194,215.1944,216.2587,224.4783,239.4734,261.7162
1C,6,205.6538,213.0976,210.455,209.599,203.8714,199.5752,204.5083,202.1703,203.1818,222.6753,248.6
1C,1,165.2553,167.6566,167.6916,172.909,179.2667,183.7236,189.9529,190.9074,199.0765,205.0889,209.4857
1C,2,183.2604,181.0135,184.148,187.858,203.2447,202.5124,221.1573,212.5265,216.0347,212.6624,242.4867
1C,6,133.4728,136.7554,135.1821,131.6321,135.7639,131.5443,136.7949,140.4297,149.5133,171.7907,192.2722
1C,3,193.7302,192.2262,189.1251,191.4201,194.0893,195.9936,199.9437,203.0851,211.6594,225.2574,250.0188
1C,6,158.3114,155.0203,155.7409,155.6279,153.2397,151.9076,155.6267,161.0484,169.6734,178.3528,194.8678
1C,7,208.3076,204.6299,205.033,202.0409,204.7902,202.2848,201.8828,207.4246,212.3926,221.3163,245.6259
1C,3,212.7958,210.1673,210.1491,210.7625,213.2734,216.0416,227.9909,231.2227,242.5496,246.9283,258.6656
1C,8,196.6738,194.4863,192.566,191.8655,192.0161,193.893,189.303,185.9218,191.1845,188.6919,195.9959
1C,1,181.1124,183.1554,193.31,190.5862,200.4686,203.7077,206.7926,212.4868,224.9674,235.6306,255.8774
1C,1,165.3408,166.4495,165.7515,170.4653,168.1454,168.8902,175.0669,180.8619,187.3494,193.7701,197.6988
1C,8,240.3027,238.3917,230.1088,230.8047,228.8953,228.5605,224.4273,223.5812,224.4299,224.5367,240.4474
1C,6,154.3425,154.9364,159.4394,158.9267,158.2389,151.6828,157.3149,160.6619,161.7088,168.3107,202.6918
1C,3,191.2089,189.9844,189.15,190.7498,198.0496,197.3372,201.1187,201.3116,208.0269,220.8876,235.4437
1C,6,216.6868,215.7518,208.6008,214.9866,210.9821,202.5328,210.967,207.7385,210.6402,226.2196,237.8955
1C,1,210.8762,216.4429,219.278,218.2575,217.4607,212.7359,218.8339,219.8108,223.6471,226.1042,247.6971
1C,6,189.5132,189.8537,190.1212,192.083,190.4201,187.6661,189.014,188.4649,192.071,196.1054,209.7818
1C,5,120.4416,121.2911,118.8134,117.6573,115.4614,117.373,118.1001,120.8239,128.0675,131.324,146.5631
1C,1,189.4067,191.584,193.1376,197.8316,200.5701,204.9164,211.3743,213.3996,227.8918,231.3383,257.4166
1C,2,211.8524,210.8567,215.3735,219.1186,217.9515,221.0005,219.7779,222.9329,231.3202,234.0424,253.6641
1C,6,222.5194,228.8064,219.3086,220.3154,219.857,219.1061,225.5721,222.2271,223.3853,225.7927,255.9943
1C,3,204.5397,200.7332,197.2161,201.5904,207.4113,210.2124,217.8647,219.6,226.2733,237.0281,265.2339
