0,1,2,3
020-ER18,12939.356435643565,13604.980104730257,Validation
131-ER18,94327.81407035176,77289.8080679334,Validation
179-ER18,61687.309644670044,69893.71818621026,Validation
187-ER18,158706.32911392403,71236.64028886729,Validation
252-ER18,34674.86419753086,53265.45949907295,Validation
255-ER18,22817.213930348265,55353.665709111556,Validation
296-ER18,21643.950617283943,52778.99247015054,Validation
300-ER18,6097.985074626867,19855.943703773315,Validation
307-ER18,116064.67661691541,61295.61167594577,Validation
320-ER18,108320.98765432097,110020.35898393615,Validation
352-ER18,16247.014925373134,27150.35304310586,Validation
475-ER18,309.7777777777777,24114.416757853094,Validation
477-ER18,3160.5432098765436,72463.37639284447,Validation
031-ER18,42827.83251231528,70571.00209505983,Calibration
032-ER18,56182.17821782177,51741.37235650131,Calibration
035-ER18,40275.87064676616,50142.90297924293,Calibration
036-ER18,38188.86138613862,35993.17461782008,Calibration
038-ER18,16033.746898263025,36244.22138292992,Calibration
039-ER18,27560.545905707204,39188.184078004975,Calibration
040-ER18,31854.636591478706,50394.795768874945,Calibration
041-ER18,28750.61728395061,45269.29381219903,Calibration
043-ER18,18021.64179104478,23288.128778380265,Calibration
094-ER18,75541.23456790124,55510.200818957,Calibration
095-ER18,74236.38613861387,58445.40253277825,Calibration
096-ER18,82951.60493827159,50927.12413409129,Calibration
098-ER18,7631.453201970442,5521.8290675905355,Calibration
099-ER18,5809.679802955665,4370.9936949943885,Calibration
100-ER18,9779.10891089109,-690.1533468227158,Calibration
101-ER18,7232.561576354679,-9598.885600430476,Calibration
114-ER18,25611.806930693067,51520.85503597758,Calibration
115-ER18,43892.835443038,65588.8158151758,Calibration
116-ER18,52116.79900744417,72203.322978873,Calibration
117-ER18,45739.47761194031,63053.48423719101,Calibration
119-ER18,36528.852867830414,89643.32707076121,Calibration
120-ER18,64963.721518987324,67844.91665265949,Calibration
121-ER18,80739.32668329176,55673.839476934736,Calibration
124-ER18,52693.69077306733,49936.621669246255,Calibration
125-ER18,45025.175,70149.72301951982,Calibration
126-ER18,68377.98004987532,67642.95130998892,Calibration
127-ER18,49051.56962025316,92263.42337992585,Calibration
177-ER18,59169.035532994916,80462.57813010692,Calibration
178-ER18,59362.216624685134,86391.41608448801,Calibration
181-ER18,77724.87437185933,65819.28161703971,Calibration
183-ER18,126904.76190476192,82158.79906190615,Calibration
188-ER18,69863.59102244386,77829.1565797449,Calibration
251-ER18,59882.271604938265,41378.42779074461,Calibration
253-ER18,20736.029776674943,25720.539104640586,Calibration
254-ER18,20573.06930693069,27019.9544284311,Calibration
257-ER18,46027.841191067,43123.250647989866,Calibration
258-ER18,34452.148148148146,25143.895847767413,Calibration
282-ER18,24814.61728395061,58540.190614968684,Calibration
289-ER18,44688.9724310777,35116.48499171078,Calibration
290-ER18,25228.39195979899,13654.37809653847,Calibration
291-ER18,33522.33250620347,43685.775258308655,Calibration
292-ER18,17770.049504950497,47767.06675421142,Calibration
293-ER18,24153.465346534653,12344.99988039213,Calibration
294-ER18,24457.920792079203,32944.18735857182,Calibration
295-ER18,37835.980148883384,28017.510788258798,Calibration
297-ER18,31385.856079404482,43790.910920894625,Calibration
298-ER18,15500.249376558608,39170.107988317235,Calibration
299-ER18,6864.393939393939,19180.16750949922,Calibration
301-ER18,3324.653465346535,5961.24131625237,Calibration
302-ER18,127049.38271604938,103033.13293555047,Calibration
303-ER18,8891.43209876543,32922.929323010314,Calibration
304-ER18,10899.504950495051,19329.834724122935,Calibration
305-ER18,10153.827160493822,30700.35183134508,Calibration
319-ER18,157925.92592592593,118765.68350706446,Calibration
323-ER18,190995.0495049505,141875.92140949867,Calibration
324-ER18,18667.654320987644,46961.73047424085,Calibration
328-ER18,196800.0,160475.5854600692,Calibration
329-ER18,83987.87878787878,85918.36846149944,Calibration
330-ER18,119367.08860759492,86678.74676853757,Calibration
331-ER18,152874.37185929655,94688.51625638848,Calibration
333-ER18,87855.69306930697,86780.82905103467,Calibration
351-ER18,14812.90322580645,44482.34082721969,Calibration
353-ER18,27070.123456790123,8200.981361401762,Calibration
394-ER18,5838.684863523576,18452.687015797732,Calibration
395-ER18,33042.962962962956,38062.722360741245,Calibration
396-ER18,19538.271604938276,24964.56863008981,Calibration
397-ER18,23182.71604938271,10086.550342548866,Calibration
398-ER18,19548.39506172839,21669.297114880414,Calibration
399-ER18,44806.41975308644,33355.53776956691,Calibration
400-ER18,95727.8606965174,63404.834160776845,Calibration
401-ER18,42937.81094527363,54254.8747356618,Calibration
402-ER18,80471.35802469135,83184.90159922984,Calibration
403-ER18,107701.49253731346,78156.84207519777,Calibration
429-ER18,28170.632911392404,87864.34798670662,Calibration
434-ER18,47385.74999999999,54844.13635100878,Calibration
435-ER18,16119.74683544304,42438.049731468214,Calibration
437-ER18,127960.4938271605,85528.24242713713,Calibration
438-ER18,98146.28712871288,79130.95751197467,Calibration
462-ER18,21250.990099009905,-565.0751724500005,Calibration
474-ER18,2554.148148148149,37234.87756989563,Calibration
476-ER18,750.1481481481482,-2357.438827934709,Calibration
478-ER18,156.91358024691357,28396.326518827846,Calibration
