0,1,2,3
008-ER18,18142.5,44770.83324574178,Validation
016-ER18,50214.851485148516,27365.443520992663,Validation
028-ER18,23206.20347394541,32516.837411932574,Validation
029-ER18,23013.56783919598,46583.99801478648,Validation
083-ER18,38043.950617283954,30714.424127133207,Validation
086-ER18,52797.74999999999,29368.23145275865,Validation
088-ER18,72625.67901234567,31664.63415828371,Validation
110-ER18,18629.62871287129,44616.66092152297,Validation
149-ER18,23446.040100250626,45923.36322478164,Validation
162-ER18,50997.13197969544,65816.28864578789,Validation
163-ER18,28092.175,30951.61259411237,Validation
190-ER18,69793.65482233503,37309.79851718452,Validation
200-ER18,53876.88442211055,44089.17216752493,Validation
236-ER18,88157.15710723189,40086.51259122532,Validation
260-ER18,30757.086419753086,34526.432105734006,Validation
263-ER18,55285.905707196034,69743.73979395542,Validation
373-ER18,27778.53535353536,39522.486487749266,Validation
404-ER18,37742.32673267327,48526.99620503759,Validation
465-ER18,107814.81481481482,41925.22070787465,Validation
001-ER18,30001.259445843854,35203.36238315031,Calibration
002-ER18,36166.75062972294,37912.60199769419,Calibration
003-ER18,29132.663316582897,41314.18822645684,Calibration
004-ER18,18978.030303030308,34624.40333437871,Calibration
005-ER18,30142.21105527638,28991.37926409309,Calibration
006-ER18,22417.412935323373,33981.69279724987,Calibration
007-ER18,16028.211586901758,29316.035748898805,Calibration
009-ER18,19464.64646464648,21792.94905885306,Calibration
010-ER18,31595.949367088608,21533.357922540534,Calibration
011-ER18,30025.870646766176,26848.953198713385,Calibration
012-ER18,12299.999999999989,10070.63081116479,Calibration
013-ER18,50708.39506172837,20718.00981183529,Calibration
015-ER18,15924.19753086421,22184.518591188356,Calibration
017-ER18,33143.34975369456,21869.098514495057,Calibration
018-ER18,9803.555555555553,28443.607318240203,Calibration
019-ER18,30107.160493827138,22946.180398689372,Calibration
021-ER18,41298.74371859299,34349.10329701089,Calibration
022-ER18,39450.8816120907,45126.79199356823,Calibration
024-ER18,36900.000000000015,44480.96326259621,Calibration
027-ER18,38934.739454094306,55917.472826498735,Calibration
044-ER18,12985.037406483798,18021.458259497835,Calibration
045-ER18,18683.415841584152,34809.182661218074,Calibration
046-ER18,9258.064516129032,10590.39583838178,Calibration
047-ER18,19288.17733990148,38449.79199869341,Calibration
048-ER18,29517.98029556648,39519.76635089483,Calibration
050-ER18,11068.982630272962,29725.69070413735,Calibration
051-ER18,28842.079207920826,27216.48553918335,Calibration
052-ER18,18115.09900990099,27931.75163393336,Calibration
053-ER18,35952.26130653269,27902.01279516245,Calibration
054-ER18,28793.417721518967,24136.89537420567,Calibration
055-ER18,21208.64197530866,29814.974031246344,Calibration
056-ER18,17485.891089108914,26160.19090619454,Calibration
057-ER18,15809.925558312658,27205.676674144157,Calibration
058-ER18,34435.910224438885,35053.201825778626,Calibration
062-ER18,22334.749999999985,24906.426388423704,Calibration
065-ER18,27902.49376558603,48765.23628488369,Calibration
067-ER18,72627.11442786077,47924.94118746528,Calibration
069-ER18,39123.38308457715,46348.355792726485,Calibration
071-ER18,40063.45177664972,44127.885427844594,Calibration
072-ER18,53279.5511221945,33865.64040449234,Calibration
073-ER18,37947.890818858556,51870.731123403646,Calibration
074-ER18,79104.69135802463,59964.00666870884,Calibration
075-ER18,64547.160493827134,57954.32995984493,Calibration
076-ER18,72208.95522388058,49636.5239970586,Calibration
077-ER18,53351.50753768841,47382.55304387002,Calibration
078-ER18,80939.30348258703,42850.69367318841,Calibration
079-ER18,62137.77777777773,46312.05649808848,Calibration
080-ER18,77533.74689826301,35260.23490793982,Calibration
081-ER18,55303.29113924051,37559.44888436933,Calibration
082-ER18,52574.06483790524,34792.886543814064,Calibration
084-ER18,91017.92929292921,35860.28630339676,Calibration
089-ER18,90797.28395061729,62531.96081582055,Calibration
090-ER18,97237.31343283586,54336.120524763355,Calibration
092-ER18,44251.72413793102,33581.24377419586,Calibration
093-ER18,39616.37717121588,38236.14295578509,Calibration
104-ER18,10953.73134328359,31520.404086637813,Calibration
105-ER18,33257.8163771712,34167.78901792248,Calibration
106-ER18,17888.148148148135,40931.01603707342,Calibration
107-ER18,28047.91457286433,35249.40657580169,Calibration
108-ER18,24452.317380352648,45469.380252303,Calibration
109-ER18,14536.084788029935,25064.186303237366,Calibration
111-ER18,14731.90355329949,29272.893131147117,Calibration
134-ER18,38946.87817258883,57471.22297424148,Calibration
135-ER18,63634.68513853904,71596.05807604495,Calibration
137-ER18,62308.55329949238,52882.69954192084,Calibration
140-ER18,76979.02985074632,54803.368513208574,Calibration
141-ER18,33530.15113350123,36745.304013668254,Calibration
142-ER18,58926.57360406094,62043.93906316298,Calibration
143-ER18,35910.45112781954,43466.99112201965,Calibration
144-ER18,23278.658227848107,32348.569716236445,Calibration
145-ER18,18668.942065491192,26957.245671172343,Calibration
146-ER18,23889.675000000014,43782.26623716037,Calibration
147-ER18,15333.173803526435,28346.764113459736,Calibration
148-ER18,27021.979949874665,45255.4154360913,Calibration
150-ER18,34349.924242424226,60629.37030504806,Calibration
151-ER18,19161.50127226463,43410.45670047561,Calibration
152-ER18,19456.26903553299,23003.041966242374,Calibration
153-ER18,24394.493827160506,49498.12190369705,Calibration
154-ER18,54916.42500000005,36891.225545846595,Calibration
155-ER18,13429.029850746258,36862.28619876125,Calibration
156-ER18,52659.18518518513,53013.455806301456,Calibration
157-ER18,39971.89393939392,56166.61064145569,Calibration
158-ER18,57376.24685138541,36577.81844868236,Calibration
160-ER18,30980.430379746846,51016.02019693412,Calibration
161-ER18,46247.79448621555,64014.526354797636,Calibration
